X,Y,SIG_CD,SIG_ENG_NM,SIG_KOR_NM
126.9773213,37.59491732,11110,Jongno-gu,종로구
126.9959681,37.56014356,11140,Jung-gu,중구
126.979907,37.53138497,11170,Yongsan-gu,용산구
127.0410585,37.55102969,11200,Seongdong-gu,성동구
127.0857435,37.54670608,11215,Gwangjin-gu,광진구
127.0548481,37.58195655,11230,Dongdaemun-gu,동대문구
127.0928803,37.59780259,11260,Jungnang-gu,중랑구
127.0175795,37.6057019,11290,Seongbuk-gu,성북구
127.011189,37.64347391,11305,Gangbuk-gu,강북구
127.0323688,37.66910208,11320,Dobong-gu,도봉구
127.0750347,37.65251105,11350,Nowon-gu,노원구
126.9270229,37.61921128,11380,Eunpyeong-gu,은평구
126.9390631,37.57778531,11410,Seodaemun-gu,서대문구
126.90827,37.55931349,11440,Mapo-gu,마포구
126.8554777,37.52478941,11470,Yangcheon-gu,양천구
126.822807,37.56123543,11500,Gangseo-gu,강서구
126.8563006,37.49440543,11530,Guro-gu,구로구
126.9008202,37.46056756,11545,Geumcheon-gu,금천구
126.9101695,37.52230829,11560,Yeongdeungpo-gu,영등포구
126.9516415,37.49887688,11590,Dongjak-gu,동작구
126.9453372,37.46737569,11620,Gwanak-gu,관악구
127.0312203,37.47329547,11650,Seocho-gu,서초구
127.0629852,37.49664389,11680,Gangnam-gu,강남구
127.115295,37.50561924,11710,Songpa-gu,송파구
127.1470118,37.55045024,11740,Gangdong-gu,강동구
129.0315402,35.10547776,26110,Jung-gu,중구
129.0149537,35.10383663,26140,Seo-gu,서구
129.0445856,35.12918632,26170,Dong-gu,동구
129.0648096,35.07868795,26200,Yeongdo-gu,영도구
129.0430603,35.16524411,26230,Busanjin-gu,부산진구
129.0792201,35.20621244,26260,Dongnae-gu,동래구
129.0940064,35.12613679,26290,Nam-gu,남구
129.0234398,35.22922961,26320,Buk-gu,북구
129.1535934,35.19385339,26350,Haeundae-gu,해운대구
128.974349,35.0893484,26380,Saha-gu,사하구
129.0915307,35.25889074,26410,Geumjeong-gu,금정구
128.8924006,35.13834787,26440,Gangseo-gu,강서구
129.0829353,35.18241798,26470,Yeonje-gu,연제구
129.1111627,35.16133146,26500,Suyeong-gu,수영구
128.9865922,35.15803037,26530,Sasang-gu,사상구
129.200956,35.29801166,26710,Gijang-gun,기장군
128.5936058,35.86653529,27110,Jung-gu,중구
128.6856599,35.93442633,27140,Dong-gu,동구
128.5496976,35.87500167,27170,Seo-gu,서구
128.5853296,35.83517716,27200,Nam-gu,남구
128.5772044,35.92892237,27230,Buk-gu,북구
128.6612744,35.83384886,27260,Suseong-gu,수성구
128.5292121,35.8274831,27290,Dalseo-gu,달서구
128.4982981,35.75957305,27710,Dalseong-gun,달성군
126.4805605,37.46753391,28110,Jung-gu,중구
126.6397466,37.48298658,28140,Dong-gu,동구
126.6646585,37.45259578,28170,Nam-gu,남구
126.6473033,37.39856402,28185,Yeonsu-gu,연수구
126.726461,37.43134886,28200,Namdong-gu,남동구
126.7212094,37.49665874,28237,Bupyeong-gu,부평구
126.7346999,37.55729696,28245,Gyeyang-gu,계양구
